
 NS = 8   NO. FOURIER MODES = 288   FTOLV = 1.000e-11   NITER = 4000

 ITER |    FSQR     FSQZ     FSQL    |    fsqr     fsqz      fsql   |   DELT   |  RAX(v=0) |    W_MHD   |   <BETA>   |  <M>  |  DELBSQ
  410 | 1.68e-09  6.35e-10  3.27e-09 | 2.97e-12  2.16e-12  9.87e-12 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9950e-02 | 1.555 | 1.357e-03
  415 | 1.55e-09  5.89e-10  3.10e-09 | 2.66e-12  1.88e-12  8.94e-12 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9950e-02 | 1.554 | 1.357e-03
  420 | 1.40e-09  5.71e-10  2.91e-09 | 2.45e-12  1.87e-12  7.85e-12 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9950e-02 | 1.553 | 1.357e-03
  425 | 1.26e-09  5.19e-10  2.69e-09 | 2.27e-12  1.75e-12  6.94e-12 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9950e-02 | 1.552 | 1.356e-03
  430 | 1.16e-09  4.79e-10  2.49e-09 | 2.01e-12  1.66e-12  6.35e-12 | 6.56e-01 | 6.008e+00 | 7.0443e+01 | 3.9950e-02 | 1.551 | 1.355e-03
  435 | 1.09e-09  4.61e-10  2.40e-09 | 1.79e-12  1.45e-12  5.84e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9950e-02 | 1.550 | 1.354e-03
  440 | 9.86e-10  4.22e-10  2.29e-09 | 1.60e-12  1.23e-12  5.41e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.549 | 1.354e-03
  445 | 8.23e-10  3.99e-10  2.16e-09 | 1.43e-12  1.31e-12  4.70e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.548 | 1.353e-03
  450 | 7.68e-10  3.73e-10  2.04e-09 | 1.29e-12  1.18e-12  4.22e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.547 | 1.352e-03
  455 | 7.15e-10  3.50e-10  1.88e-09 | 1.24e-12  1.12e-12  3.91e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.546 | 1.351e-03
  460 | 6.47e-10  3.20e-10  1.75e-09 | 1.05e-12  1.13e-12  3.75e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.546 | 1.350e-03
  465 | 6.25e-10  2.89e-10  1.67e-09 | 9.46e-13  8.78e-13  3.58e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.545 | 1.350e-03
  470 | 5.47e-10  2.86e-10  1.59e-09 | 8.61e-13  7.97e-13  3.20e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.544 | 1.349e-03
  475 | 4.94e-10  2.62e-10  1.50e-09 | 7.84e-13  7.38e-13  2.85e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.543 | 1.349e-03
  480 | 4.57e-10  2.47e-10  1.41e-09 | 7.12e-13  7.28e-13  2.53e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.542 | 1.349e-03
  485 | 4.37e-10  2.32e-10  1.33e-09 | 6.96e-13  7.22e-13  2.42e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.542 | 1.349e-03
  490 | 4.33e-10  2.05e-10  1.27e-09 | 6.24e-13  6.10e-13  2.41e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.542 | 1.349e-03
  495 | 3.93e-10  1.91e-10  1.21e-09 | 5.43e-13  6.16e-13  2.27e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.541 | 1.350e-03
  500 | 3.74e-10  1.86e-10  1.15e-09 | 5.12e-13  5.04e-13  2.11e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.540 | 1.350e-03
  505 | 3.53e-10  1.79e-10  1.08e-09 | 4.92e-13  4.56e-13  1.93e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.540 | 1.350e-03
  510 | 3.35e-10  1.66e-10  1.03e-09 | 4.51e-13  4.97e-13  1.76e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.540 | 1.350e-03
  515 | 3.28e-10  1.59e-10  9.79e-10 | 4.54e-13  4.43e-13  1.68e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.539 | 1.350e-03
  520 | 3.26e-10  1.46e-10  9.27e-10 | 4.15e-13  4.16e-13  1.59e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.539 | 1.351e-03
  525 | 3.25e-10  1.31e-10  8.96e-10 | 3.79e-13  3.77e-13  1.54e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.539 | 1.351e-03
  530 | 3.08e-10  1.26e-10  8.54e-10 | 3.58e-13  3.39e-13  1.44e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.538 | 1.351e-03
  535 | 2.82e-10  1.27e-10  8.06e-10 | 3.42e-13  3.14e-13  1.32e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.538 | 1.351e-03
  540 | 2.81e-10  1.22e-10  7.58e-10 | 3.29e-13  2.91e-13  1.22e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.538 | 1.352e-03
  545 | 2.68e-10  1.14e-10  7.00e-10 | 3.15e-13  3.10e-13  1.12e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.538 | 1.352e-03
  550 | 2.59e-10  1.07e-10  6.57e-10 | 2.91e-13  2.59e-13  1.04e-12 | 6.56e-01 | 6.009e+00 | 7.0443e+01 | 3.9951e-02 | 1.537 | 1.353e-03
