 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
  SEQ =    1 TIME SLICE  0.0000E+00
  PROCESSING INPUT.w7x_768
  THIS IS PARVMEC (PARALLEL VMEC), VERSION 10.0
  Lambda: Full Radial Mesh. L-Force: hybrid full/half.

  COMPUTER: demo-host   OS: GNU/Linux   RELEASE: 7.0.0-27-generic  DATE = Jul 21,2026  TIME = 14:28:16
  Opening vacuum field file: mgrid_w7x.nc
  Time to read MGRID file:   6.79E-02 s

  NS =    8 NO. FOURIER MODES =  288 FTOLV =  1.000E-11 NITER =   4000
  PROCESSOR COUNT - RADIAL:    1  VACUUM:    1

  ITER    FSQR      FSQZ      FSQL    RAX(v=0)    DELT        WMHD      DEL-BSQ
  915  7.71E-12  3.65E-12  1.58E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  920  7.59E-12  3.48E-12  1.52E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  925  7.02E-12  3.33E-12  1.45E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  930  6.73E-12  3.12E-12  1.39E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  935  6.39E-12  3.09E-12  1.33E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  940  6.00E-12  2.93E-12  1.29E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  945  5.82E-12  2.80E-12  1.25E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  950  5.78E-12  2.69E-12  1.20E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  955  5.30E-12  2.59E-12  1.14E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  960  5.12E-12  2.43E-12  1.09E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  965  4.88E-12  2.37E-12  1.05E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03
  970  4.55E-12  2.27E-12  1.01E-11  6.007E+00  7.08E-01  7.0445E+01  1.370E-03

  NS =  768 NO. FOURIER MODES =  288 FTOLV =  1.000E-11 NITER =   4000
  PROCESSOR COUNT - RADIAL:    1  VACUUM:    1

  ITER    FSQR      FSQZ      FSQL    RAX(v=0)    DELT        WMHD      DEL-BSQ

    1  3.16E+02  1.44E+02  5.87E-04  6.007E+00  1.00E+00  7.0447E+01  1.370E-03
    2  1.25E+01  3.85E+01  1.17E-03  6.007E+00  1.00E+00  6.9701E+01  4.912E-02
    3  1.20E+01  3.73E+01  1.19E-03  6.007E+00  9.00E-01  6.9701E+01  4.912E-02
    4  1.20E+01  3.73E+01  1.19E-03  6.007E+00  8.10E-01  6.9701E+01  4.912E-02
    5  1.20E+01  3.73E+01  1.19E-03  6.007E+00  7.29E-01  6.9701E+01  4.912E-02
    6  1.20E+01  3.73E+01  1.19E-03  6.007E+00  6.56E-01  6.9701E+01  4.912E-02
    7  1.20E+01  3.73E+01  1.19E-03  6.007E+00  5.90E-01  6.9701E+01  4.912E-02
